しょう,1286,1286,-32768,しょう,動詞,,,不変,,方言,ショウ,背負う,206,*,*,*,*
じょうが,1286,1286,-32768,じょうが,動詞,不規則,,,,方言,ジョウガ,市街地に行ってくるよ,207,*,*,*,*
しょむ,1286,1286,-32768,しょむ,動詞,,,不変,,方言,ショム,しみる,208,*,*,*,*
しろず,1286,1286,-32768,しろず,動詞,,,不変,,方言,シロズ,しなさい,209,*,*,*,*
しんな,913,913,-32768,しんな,動詞,さ変命令,,,,方言,シンナ,するな,210,*,*,*,*
しんなねず,1286,1286,-32768,しんなねず,動詞,不規則,,,,方言,シンナ ネズ,しなければならない,211,*,*,*,*
しんなびる,1286,1286,-32768,しんなびる,動詞,,,不変,,方言,シンナビル,しおれる,212,*,*,*,*
しんねぇ,1286,1286,-32768,しんねぇ,動詞,,,不変,,方言,シンネェ,しれない,213,*,*,*,*
すえる,1286,1286,-32768,すえる,動詞,不規則,,,,方言,スエル,食べ物が腐って酸っぱくなる,214,*,*,*,*
すえる,1286,1286,-32768,すえる,動詞,不規則,,,,方言,スエル,米が悪くなったこと,215,*,*,*,*
すぐだまる,1286,1286,-32768,すぐだまる,動詞,不規則,,,,方言,スグ ダマル,身をすくめる,216,*,*,*,*
すける,1286,1286,-32768,すける,動詞,,,不変,,方言,スケル,助ける,217,*,*,*,*
すけ,1286,1286,-32768,すけろ,動詞,不規則,,,,方言,スケロ,助け,218,*,*,*,*
てづだう,1286,1286,-32768,すける,動詞,,,不変,,方言,スケル,手伝う,219,*,*,*,*
てづだっ,1286,1286,-32768,すけろ,動詞,不規則,,,,方言,スケロ,手伝っ,220,*,*,*,*
すっそっお,1286,1286,-32768,すっそっお,動詞,,,不変,,方言,スッソッオ,やるよ,221,*,*,*,*
すっつぉ,913,913,-32768,すっつぉ,動詞,さ変,,,,方言,スッツォ,するよ,222,*,*,*,*
すっぺ,1286,1286,-32768,すっぺ,動詞,,,不変,,方言,スッペ,しましょう,223,*,*,*,*
すなんね,1286,1286,-32768,すなんね,動詞,不規則,,,,方言,スナンネ,しなければならない,224,*,*,*,*
すなんねぞ,1286,1286,-32768,すなんねぞ,動詞,,,不変,,方言,スナンネゾ,しなさい,225,*,*,*,*
すなんねべ,1286,1286,-32768,すなんねべ,動詞,,,不変,,方言,スナンネベ,した方が良いですね,226,*,*,*,*
ずぼげる,1286,1286,-32768,ずぼげる,動詞,,,不変,,方言,ズボゲル,溺れる,227,*,*,*,*
すんずぐれ,1286,1286,-32768,すんずぐれ,動詞,,,不変,,方言,スンズグレ,実っていない,228,*,*,*,*
すんぞ,913,913,-32768,すんぞ,動詞,さ変,,,,方言,スンゾ,するぞ,229,*,*,*,*
すんな,913,913,-32768,すんな,動詞,さ変,,,,方言,スンナ,するな,230,*,*,*,*
すんなねず,1286,1286,-32768,すんなねず,動詞,不規則,,,,方言,スンナ ネズ,しなければならない,231,*,*,*,*
ずんぶげる,1286,1286,-32768,ずんぶげる,動詞,,,不変,,方言,ズンブゲル,溺れる,232,*,*,*,*
すんべ,1286,1286,-32768,すんべ,動詞,,,不変,,方言,スンベ,しましょう,233,*,*,*,*
ずんぼげる,1286,1286,-32768,ずんぼげる,動詞,,,不変,,方言,ズンボゲル,溺れる,234,*,*,*,*
せぐな,1286,1286,-32768,せぐな,動詞,,,不変,,方言,セグナ,急ぐな,235,*,*,*,*
せせぐる,1286,1286,-32768,せせぐる,動詞,,,不変,,方言,セセグル,からかう,236,*,*,*,*
せったらいぎ,1286,1286,-32768,せったらいぎ,動詞,,,不変,,方言,セッタラ イギ,あえぐ,237,*,*,*,*
せっつぐ,1286,1286,-32768,せっつぐ,動詞,,,不変,,方言,セッツグ,せかす,238,*,*,*,*
せでいぐ,1286,1286,-32768,せでいぐ,動詞,,,不変,,方言,セデイグ,連れていく,239,*,*,*,*
せでぐ,1286,1286,-32768,せでぐ,動詞,,,不変,,方言,セデグ,連れていく,240,*,*,*,*
せびる,1286,1286,-32768,せびる,動詞,,,不変,,方言,セビル,ねだる,241,*,*,*,*
そじる,1286,1286,-32768,そじる,動詞,,,不変,,方言,ソジル,傷む,242,*,*,*,*
そだす,1286,1286,-32768,そだす,動詞,,,不変,,方言,ソダス,傷める,243,*,*,*,*
そばえ,1286,1286,-32768,そばえ,動詞,,,,,方言,ソバエ,甘え,244,*,*,*,*
そばえる,1286,1286,-32768,そばえる,動詞,,,,,方言,ソバエル,甘える,245,*,*,*,*
