置賜弁テスト,1,1,-32768,見出し結果表示,品詞1,品詞2,品詞3,品詞4,品詞9(活用形),品詞10(活用形),ヨミ,正規化表記,*,*,*,*,*
たな,9,9,-32768,たな,助動詞,,,,,方言,,た,*,*,*,*,*
だなっし,9,9,-32768,だなっし,助動詞,,,,,方言,ダナッシ,ですね,*,*,*,*,*
たは,9,9,-32768,たは,助動詞,,,,,方言,タハ,た,*,*,*,*,*
っさー,9,9,-32768,っさー,助動詞,,,,,方言,ッサー,だろう,*,*,*,*,*
ったった,9,9,-32768,ったった,助動詞,,,,,方言,ッタッタ,ていた,*,*,*,*,*
でした,9,9,-32768,でした,助動詞,,,,,方言,デシタ,です,*,*,*,*,*
なんね,9,9,-32768,なんね,助動詞,,,,,方言,ナンネ,しなければならなりません,*,*,*,*,*
に,9,9,-32768,に,助動詞,,,,否定,方言,ネ,ない,*,*,*,*,*
にぇ,9,9,-32768,にぇ,助動詞,,,,,方言,ニェ,ない,*,*,*,*,*
にえ,9,9,-32768,にえ,助動詞,,,,,方言,ニエ,ない,*,*,*,*,*
ね,9,9,-32768,ね,助動詞,,,,否定,方言,ネ,ない,*,*,*,*,*
ぱり,9,9,-32768,ぱり,助動詞,,,,副助詞,方言,パリ,だけしか,*,*,*,*,*
べ,9,9,-32768,べ,助動詞,,,,,方言,ベ,だ,*,*,*,*,*
べ,9,9,-32768,べ,助動詞,終助詞,,,,方言,ベ,ぞ,*,*,*,*,*
ぺ,9,9,-32768,ぺ,助動詞,,,,,方言,ペ,しましょう,*,*,*,*,*
べした,9,9,-32768,べした,助動詞,,,,,方言,ベシタ,そうでしょう？,*,*,*,*,*
べした,9,9,-32768,べした,助動詞,,,,,方言,ベシタ,でしょう,*,*,*,*,*
やぇ,9,9,-32768,やえ,助動詞,,,,,方言,ヤェ,ください,*,*,*,*,*
やえ,9,9,-32768,やえ,助動詞,,,,,方言,ヤエ,ください,*,*,*,*,*
にぇ,9,9,-32768,にぇ,助動詞,,,,不変,方言,ニェ,ない,*,*,*,*,*
ねぇ,9,9,-32768,ねぇ,助動詞,,,,不変,方言,ネェ,ない,*,*,*,*,*
ねぇ,9,9,-32768,ねぇ,助動詞,,,,不変,方言,ネェ,ない,*,*,*,*,*
んに,9,9,-32768,んに,助動詞,,,,不変,方言,ンニ,ない,*,*,*,*,*
だけんども,5930,5930,-32768,だけんども,接続詞,,,,,方言,ダケンドモ,だけれども,*,*,*,*,*
ほだがら,5930,5930,-32768,ほだがら,接続詞,,,,,方言,ホダガラ,だから,*,*,*,*,*
もんだがら,5930,5930,-32768,もんだがら,接続詞,,,,,方言,モンダガラ,から,*,*,*,*,*
もんで,5930,5930,-32768,もんで,接続詞,,,,,方言,モンデ,ので,*,*,*,*,*
がら,5930,5930,-32768,がら,接続詞,,,,,方言,ガラ,から,*,*,*,*,*
んじゃ,5930,5930,-32768,んじゃ,接続詞,,,,不変,方言,ンジャ,それでは,*,*,*,*,*
